i;Ii;Ji;ni
1;-12;0;0.323254573644920E-4
2;-12;1;-0.127575556587181E-3
3;-10;0;-0.475851877356068E-3
4;-10;1;0.156183014181602E-2
5;-10;5;0.105724860113781
6;-10;10;-0.858514221132534E2
7;-10;12;0.724140095480911E3
8;-8;0;0.296475810273257E-2
9;-8;1;-0.592721983365988E-2
10;-8;2;-0.126305422818666E-1
11;-8;4;-0.115716196364853
12;-8;10;0.849000969739595E2
13;-6;0;-0.108602260086615E-1
14;-6;1;0.154304475328851E-1
15;-6;2;0.750455441524466E-1
16;-4;0;0.252520973612982E-1
17;-4;1;-0.602507901232996E-1
18;-3;5;-0.307622221350501E1
19;-2;0;-0.574011959864879E-1
20;-2;4;0.503471360939849E1
21;-1;2;-0.925081888584834
22;-1;4;0.391733882917546E1
23;-1;6;-0.773146007130190E2
24;-1;10;0.949308762098587E4
25;-1;14;-0.141043719679409E7
26;-1;16;0.849166230819026E7
27;0;0;0.861095729446704
28;0;2;0.323346442811720
29;1;1;0.873281936020439
30;3;1;-0.436653048526683
31;5;1;0.286596714529479
32;6;1;-0.131778331276228
33;8;1;0.676682064330275E-2
