i;Ii;Ji;ni
1;-12;1;0.527111701601660
2;-12;3;-0.401317830052742E2
3;-12;4;0.153020073134484E3
4;-12;7;-0.224799398218827E4
5;-8;0;-0.193993484669048
6;-8;1;-0.140467557893768E1
7;-8;3;0.426799878114024E2
8;-6;0;0.752810643416743
9;-6;2;0.226657238616417E2
10;-6;4;-0.622873556909932E3
11;-5;0;-0.660823667935396
12;-5;1;0.841267087271658
13;-5;2;-0.253717501764397E2
14;-5;4;0.485708963532948E3
15;-5;6;0.880531517490555E3
16;-4;12;0.265015592794626E7
17;-3;1;-0.359287150025783
18;-3;6;-0.656991567673753E3
19;-2;2;0.241768149185367E1
20;0;0;0.856873461222588
21;2;1;0.655143675313458
22;3;1;-0.213535213206406
23;4;0;0.562974957606348E-2
24;5;24;-0.316955725450471E15
25;6;0;-0.699997000152457E-3
26;8;3;0.119845803210767E-1
27;12;1;0.193848122022095E-4
28;14;2;-0.215095749182309E-4
